partitionID,className,classID
0,MapperTestContext.java,src/test/java/org/mybatis/jpetstore/mapper/MapperTestContext.java
0,CartTest.java,src/test/java/org/mybatis/jpetstore/domain/CartTest.java
1,Item.java,src/main/java/org/mybatis/jpetstore/domain/Item.java
1,LineItemMapper.java,src/main/java/org/mybatis/jpetstore/mapper/LineItemMapper.java
1,CategoryMapper.java,src/main/java/org/mybatis/jpetstore/mapper/CategoryMapper.java
1,AccountMapper.java,src/main/java/org/mybatis/jpetstore/mapper/AccountMapper.java
1,OrderServiceTest.java,src/test/java/org/mybatis/jpetstore/service/OrderServiceTest.java
1,AccountMapperTest.java,src/test/java/org/mybatis/jpetstore/mapper/AccountMapperTest.java
1,OrderActionBean.java,src/main/java/org/mybatis/jpetstore/web/actions/OrderActionBean.java
2,CatalogActionBean.java,src/main/java/org/mybatis/jpetstore/web/actions/CatalogActionBean.java
2,Category.java,src/main/java/org/mybatis/jpetstore/domain/Category.java
3,OrderActionBeanTest.java,src/test/java/org/mybatis/jpetstore/web/actions/OrderActionBeanTest.java
3,AccountActionBeanTest.java,src/test/java/org/mybatis/jpetstore/web/actions/AccountActionBeanTest.java
4,Cart.java,src/main/java/org/mybatis/jpetstore/domain/Cart.java
4,OrderTest.java,src/test/java/org/mybatis/jpetstore/domain/OrderTest.java
4,CartActionBean.java,src/main/java/org/mybatis/jpetstore/web/actions/CartActionBean.java
4,ItemMapper.java,src/main/java/org/mybatis/jpetstore/mapper/ItemMapper.java
4,SequenceMapperTest.java,src/test/java/org/mybatis/jpetstore/mapper/SequenceMapperTest.java
5,AccountActionBean.java,src/main/java/org/mybatis/jpetstore/web/actions/AccountActionBean.java
5,AccountService.java,src/main/java/org/mybatis/jpetstore/service/AccountService.java
5,AccountServiceTest.java,src/test/java/org/mybatis/jpetstore/service/AccountServiceTest.java
6,CatalogService.java,src/main/java/org/mybatis/jpetstore/service/CatalogService.java
6,Product.java,src/main/java/org/mybatis/jpetstore/domain/Product.java
6,ScreenTransitionIT.java,src/test/java/org/mybatis/jpetstore/ScreenTransitionIT.java
7,ProductMapper.java,src/main/java/org/mybatis/jpetstore/mapper/ProductMapper.java
7,SequenceMapper.java,src/main/java/org/mybatis/jpetstore/mapper/SequenceMapper.java
8,OrderService.java,src/main/java/org/mybatis/jpetstore/service/OrderService.java
8,OrderMapper.java,src/main/java/org/mybatis/jpetstore/mapper/OrderMapper.java
8,LineItemMapperTest.java,src/test/java/org/mybatis/jpetstore/mapper/LineItemMapperTest.java
8,ProductMapperTest.java,src/test/java/org/mybatis/jpetstore/mapper/ProductMapperTest.java
9,Sequence.java,src/main/java/org/mybatis/jpetstore/domain/Sequence.java
9,AbstractActionBean.java,src/main/java/org/mybatis/jpetstore/web/actions/AbstractActionBean.java
