partitionID,className,classID
0,Item.java,src/main/java/org/mybatis/jpetstore/domain/Item.java
0,CategoryMapper.java,src/main/java/org/mybatis/jpetstore/mapper/CategoryMapper.java
0,SequenceMapper.java,src/main/java/org/mybatis/jpetstore/mapper/SequenceMapper.java
0,LineItemMapper.java,src/main/java/org/mybatis/jpetstore/mapper/LineItemMapper.java
0,Account.java,src/main/java/org/mybatis/jpetstore/domain/Account.java
0,OrderServiceTest.java,src/test/java/org/mybatis/jpetstore/service/OrderServiceTest.java
0,AccountMapperTest.java,src/test/java/org/mybatis/jpetstore/mapper/AccountMapperTest.java
0,OrderActionBean.java,src/main/java/org/mybatis/jpetstore/web/actions/OrderActionBean.java
1,CatalogActionBean.java,src/main/java/org/mybatis/jpetstore/web/actions/CatalogActionBean.java
1,Category.java,src/main/java/org/mybatis/jpetstore/domain/Category.java
2,AbstractActionBean.java,src/main/java/org/mybatis/jpetstore/web/actions/AbstractActionBean.java
2,Sequence.java,src/main/java/org/mybatis/jpetstore/domain/Sequence.java
3,CatalogActionBeanTest.java,src/test/java/org/mybatis/jpetstore/web/actions/CatalogActionBeanTest.java
3,OrderMapperTest.java,src/test/java/org/mybatis/jpetstore/mapper/OrderMapperTest.java
3,OrderActionBeanTest.java,src/test/java/org/mybatis/jpetstore/web/actions/OrderActionBeanTest.java
3,AccountActionBeanTest.java,src/test/java/org/mybatis/jpetstore/web/actions/AccountActionBeanTest.java
4,CartTest.java,src/test/java/org/mybatis/jpetstore/domain/CartTest.java
4,MapperTestContext.java,src/test/java/org/mybatis/jpetstore/mapper/MapperTestContext.java
5,CatalogService.java,src/main/java/org/mybatis/jpetstore/service/CatalogService.java
5,Product.java,src/main/java/org/mybatis/jpetstore/domain/Product.java
5,LineItem.java,src/main/java/org/mybatis/jpetstore/domain/LineItem.java
5,AccountService.java,src/main/java/org/mybatis/jpetstore/service/AccountService.java
5,ScreenTransitionIT.java,src/test/java/org/mybatis/jpetstore/ScreenTransitionIT.java
6,Cart.java,src/main/java/org/mybatis/jpetstore/domain/Cart.java
6,SequenceMapperTest.java,src/test/java/org/mybatis/jpetstore/mapper/SequenceMapperTest.java
6,CartActionBean.java,src/main/java/org/mybatis/jpetstore/web/actions/CartActionBean.java
6,ItemMapper.java,src/main/java/org/mybatis/jpetstore/mapper/ItemMapper.java
6,OrderTest.java,src/test/java/org/mybatis/jpetstore/domain/OrderTest.java
7,LineItemMapperTest.java,src/test/java/org/mybatis/jpetstore/mapper/LineItemMapperTest.java
7,ProductMapperTest.java,src/test/java/org/mybatis/jpetstore/mapper/ProductMapperTest.java
