partitionID,className,classID
0,VetRepository.java,src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java
0,CacheConfiguration.java,src/main/java/org/springframework/samples/petclinic/system/CacheConfiguration.java
1,WelcomeController.java,src/main/java/org/springframework/samples/petclinic/system/WelcomeController.java
1,VetTests.java,src/test/java/org/springframework/samples/petclinic/vet/VetTests.java
2,PetControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java
2,CrashControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/CrashControllerTests.java
2,Pet.java,src/main/java/org/springframework/samples/petclinic/owner/Pet.java
3,PetTypeFormatter.java,src/main/java/org/springframework/samples/petclinic/owner/PetTypeFormatter.java
3,OwnerRepository.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java
3,Vets.java,src/main/java/org/springframework/samples/petclinic/vet/Vets.java
3,VetController.java,src/main/java/org/springframework/samples/petclinic/vet/VetController.java
3,VisitControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java
3,ValidatorTests.java,src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java
3,CrashController.java,src/main/java/org/springframework/samples/petclinic/system/CrashController.java
4,VisitController.java,src/main/java/org/springframework/samples/petclinic/owner/VisitController.java
4,PetController.java,src/main/java/org/springframework/samples/petclinic/owner/PetController.java
4,OwnerControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java
4,Specialty.java,src/main/java/org/springframework/samples/petclinic/vet/Specialty.java
4,OwnerController.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java
5,PetTypeFormatterTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java
5,Vet.java,src/main/java/org/springframework/samples/petclinic/vet/Vet.java
